route_id,bus_id,stop_sequence,day_of_week,hour_of_day,is_weekend,is_rush_hour,current_speed_kmph,distance_to_next_stop_m,historical_avg_delay_min,weather,dwell_time_sec,actual_eta_min
R04,BUS015,11,4,11,0,0,21.5,1671.2,0.76,0,40.9,4.41
R05,BUS002,8,3,10,0,1,14.1,202.6,4.66,0,61.2,2.63
R06,BUS019,12,6,7,1,0,25.4,3037.8,3.03,0,36.4,8.79
R02,BUS009,10,4,6,0,0,16.9,2458.0,1.37,0,47.3,8.54
R02,BUS006,6,1,8,0,1,17.0,810.0,5.14,0,49.9,3.96
R02,BUS015,5,1,17,0,1,16.3,665.0,5.71,0,52.4,4.55
R01,BUS008,12,1,5,0,0,16.5,409.7,0.54,0,47.5,1.88
R01,BUS003,5,6,18,1,0,23.3,3001.4,2.13,0,32.7,8.0
R03,BUS007,1,3,8,0,1,11.9,3195.0,3.8,1,52.9,18.08
R02,BUS010,9,4,10,0,1,12.3,1706.6,3.88,1,53.4,10.41
R01,BUS007,1,0,17,0,1,14.0,3040.4,4.81,0,59.1,14.78
R04,BUS024,11,5,13,1,0,27.9,1532.7,1.48,0,51.3,4.49
R05,BUS017,8,0,21,0,0,19.8,3422.8,1.43,0,56.5,11.58
R05,BUS012,10,5,8,1,0,21.4,466.8,0.97,1,40.3,2.43
R06,BUS011,1,0,10,0,1,12.3,2496.2,5.69,0,78.3,14.82
R04,BUS007,4,0,5,0,0,28.2,1512.0,1.55,0,22.4,4.24
R06,BUS010,3,6,20,1,0,34.8,2896.8,3.53,0,38.9,6.88
R01,BUS009,3,2,20,0,1,12.9,2994.0,5.85,1,74.8,17.68
R06,BUS003,9,2,22,0,0,31.3,730.7,1.88,0,46.0,1.58
R01,BUS014,5,3,12,0,0,26.1,3002.4,3.02,0,14.5,7.65
R06,BUS006,6,4,12,0,0,22.1,2282.8,2.66,0,13.9,7.24
R05,BUS016,3,3,7,0,0,13.1,2736.2,1.31,1,44.1,12.64
